"ISIN 
","DESCRIPTOR 
","WEIGHTED AVERAGE PRICE 
","LAST TRADE PRICE 
","WEIGHTED  AVERAGE YIELD 
(YTM) (%)","LAST  TRADE YIELD  
(Annualized) (%)","VALUE 
 (₹ Lakhs)","NO. OF TRADES 
"
"INE071G07769","ICICI HOME FINANCE COMPANY LIMITED SR HDBNOV252 OP 1 7.75 BD 24NV34 FVRS1LAC
","101.9396","101.9396","7.4400","7.4400","100.00","1"
"INE040A08AB1","HDFC BANK LIMITED SR U005 9 NCD 29NV28 FVRS10LAC
","105.0172","105.0172","7.2000","7.2000","100.00","1"
"INE261F07032","NATIONAL BANK FOR AGRICULTURE AND RURAL DEVELOPMENT SR-IIB 7.64 BD23MR31FVRS1000LOAUPTO22MR16
","109.8868","109.8868","5.2500","5.2500","99.00","1"
"INE516Y07444","-","92.2712","92.2712","9.6446","9.6500","78.48","1"
"INE342T07635","NAVI FINSERV LIMITED 10.3 NCD 30SP27 FVRS10000
","99.0559","99.0559","11.3378","11.3500","70.00","1"
"INE157D07EE5","CLIX CAPITAL SERVICES PRIVATE LIMITED 10.20% NCD 10NV25 FVRS1LAC
","100.3178","100.3178","8.4227","8.7500","62.00","1"
"INE826M07046","SYLVANUS PROPERTIES LIMITED SR II 13.50 NCD 03JN28 FVRS1LAC
","100.2400","100.4800","14.2100","14.0500","60.00","2"
"INE549K08541","-","98.2800","98.2800","11.2568","11.2568","50.50","1"
"INE342T07601","NAVI FINSERV LIMITED 10.75 NCD 19AG28 FVRS10000
","98.9965","98.8000","11.4784","11.8118","50.40","2"
"INE519Q08186","-","107.6584","107.6584","8.5200","8.5200","50.00","1"
"INE148I07XG8","SAMMAAN CAPITAL LIMITED SR II CAT III&IV 8.65 NCD 01AG27 FVRS1000
","100.0000","100.0000","9.0009","9.0009","50.00","1"
"INE0M2307081","ANDHRA PRADESH STATE BEVERAGES CORPORATION LIMITED SR-I 9.62 BD 31MY30 FVRS10LAC
","102.1200","102.1200","9.3364","9.3364","50.00","1"
"INE774D08MM1","MAHINDRA AND MAHINDRA FINANCIAL SERVICES LIMITED SR-III 8.05 NCD 24JL32 FVRS1000 LOAUPTO25JL17
","100.0000","100.0000","8.0373","8.0373","50.00","1"
"INE605Y07148","-","99.4771","99.4771","10.2500","10.2500","47.00","1"
"INE01HV07452","VIVRITI CAPITAL LIMITED 9.90 NCD 11MR26 FVRS1LAC
","100.2321","100.2321","9.8000","9.8000","46.00","1"
"INE519Q08178","-","107.4746","107.4746","8.5200","8.5200","42.00","1"
"INE0TLC07101","THE ANDHRA PRADESH MINERAL DEVELOPMENT CORPORATION LIMITED SR I STRPP F 9.30 BD 07MY32 FVRS1LAC
","101.0000","101.0000","9.3981","9.3981","40.00","1"
"INE515Q08275","-","98.6500","98.6500","12.7623","12.7623","40.00","1"
"INE818F07344","KERALA FINANCIAL CORPORATION SR I STRPP A 8.58 BD 22JL31 FVRS1LAC
","102.3300","102.3300","8.3000","8.3000","40.00","1"
"INE148I07XK0","SAMMAAN CAPITAL LIMITED SR V CAT III&IV 8.88 NCD 01AG28 FVRS1000
","98.5836","97.1672","9.9498","10.4600","40.00","2"
"INE261F08AU2","NATIONAL BANK FOR AGRICULTURE AND RURAL DEVELOPMENT SERIES LTIF C3 8.12 BD 07DC33 FVRS10LAC
","104.5840","104.5840","7.5000","7.5000","30.00","1"
"INE918K07PX1","NUVAMA WEALTH FINANCE LIMITED SR D8G501A  BR NCD 22JN29 FVRS1LAC
","100.7809","100.7809","11.3000","11.3000","30.00","3"
"INE549K08533","-","100.3803","100.3803","10.6500","10.6500","30.00","2"
"INE08XP07324","AKARA CAPITAL ADVISORS PRIVATE LIMITED 12.50 NCD 27DC28 FVRS1LAC
","97.3082","97.3082","14.4365","14.4365","23.00","1"
"INE918K07PN2","NUVAMA WEALTH FINANCE LIMITED SR A 9.6177 NCD 23AP26 FVRS1LAC
","100.5613","100.5613","8.9000","8.9000","21.00","1"
"INE1C3207032","TELANGANA STATE INDUSTRIAL INFRASTRUCTURE CORPORATION LIMITED SR I 2024-25 F 9.35 NCD 31DC32 FVRS1LAC
","102.0504","102.0504","9.2500","9.2500","20.00","1"
"INE134E08JQ3","POWER FINANCE CORPORATION LIMITED SR-178 8.95 BD 10OT28 FVRS10LAC
","104.8000","104.8000","7.1700","7.1700","20.00","1"
"INE658F08409","KERALA INFRASTRUCTURE INVESTMENT  FUND BOARD SR V SUB SR F 9.49 BD 25MR34 FVRS1LAC
","99.5000","99.5000","9.9241","9.9241","20.00","1"
"INE882Z08031","MUTHOOT HOUSING FINANCE COMPANY LIMITED 11.25 NCD 10DC30 FVRS1LAC
","99.0000","99.0000","12.1220","12.1220","20.00","1"
"INE1C3207024","TELANGANA STATE INDUSTRIAL INFRASTRUCTURE CORPORATION LIMITED SR I 2024-25 G 9.35 NCD 30DC33 FVRS1LAC
","102.3567","102.3567","9.2300","9.2300","20.00","1"
"INE423A07450","ADANI ENTERPRISES LIMITED SR I 8.95 NCD 17JL27 FVRS1000
","99.1500","99.1500","9.3412","9.4375","18.00","1"
"INE523L07AM2","NUVAMA WEALTH AND INVESTMENT LIMITED SR NWIL072501 9.20 NCD 20DC27 FVRS1LAC
","99.9409","99.9409","9.2500","9.2500","15.00","1"
"INE859C07204","IKF FINANCE LIMITED 9.9 NCD 15MR27 FVRS1LAC
","99.7804","99.7804","10.3000","10.3000","13.00","1"
"INE146O08266","HINDUJA LEYLAND FINANCE LIMITED SR B 9.50 NCD 29NV29 FVRS1LAC
","98.4666","98.4666","9.9500","9.9500","10.00","1"
"INE658F08128","KERALA INFRASTRUCTURE INVESTMENT  FUND BOARD SR B 8.95 BD 22DC28 FVRS1LAC
","98.2066","98.2066","10.0000","10.0000","10.00","1"
"INE0TLC07028","THE ANDHRA PRADESH MINERAL DEVELOPMENT CORPORATION LIMITED SR I STRPP G 9.30 BD 09MY33 FVRS1LAC
","101.4500","101.4500","9.3300","9.3300","10.00","1"
"INE0TLC07077","THE ANDHRA PRADESH MINERAL DEVELOPMENT CORPORATION LIMITED SR I STRPP D 9.3 BD 07MY30 FVRS1LAC
","101.9000","101.9000","9.0735","9.0549","10.00","1"
"INE896L07983","INDOSTAR CAPITAL FINANCE LIMITED SR I 10.50 NCD 25SP26 FVRS1000
","101.0590","101.0590","9.4000","9.4000","9.07","1"
"INE321N07483","INCRED FINANCIAL SERVICES LIMITED 9.50 NCD 11DC26 FVRS1LAC
","99.3656","99.3656","10.4000","10.4000","9.00","1"
"INE530B07161","IIFL FINANCE LIMITED SR V TR II 8.42 NCD 14OT26 FVRS1000
","99.0512","99.0512","9.9300","9.7000","7.50","1"
"INE549K07DO9","-","99.6483","99.6483","9.6500","9.6500","7.50","1"
"INE04HY07278","VEDIKA CREDIT CAPITAL LTD SR I 12 NCD 23JL29 FVRS1LAC
","99.0596","99.0596","13.3434","13.0306","7.00","1"
"INE296G07309","MUTHOOT CAPITAL SERVICES LIMITED 10 NCD 29JL27 FVRS1LAC
","99.3172","99.3172","10.7308","10.9000","5.00","1"
"INE338I07149","MOTILAL OSWAL FINANCIAL SERVICES LIMITED SR III 9.10 NCD 09MY27 FVRS1000
","100.1518","100.1518","8.9500","8.9500","5.00","1"
"INE296G07283","MUTHOOT CAPITAL SERVICES LIMITED 10.35 NCD 03AP27 FVRS1LAC
","101.0100","101.0100","10.8399","9.5349","5.00","1"
"INE0TLC07093","THE ANDHRA PRADESH MINERAL DEVELOPMENT CORPORATION LIMITED SR I STRPP B 9.30 BD 09MY28 FVRS1LAC
","100.6280","100.6280","9.2040","9.3000","2.00","1"
"INE519Q08160","-","100.0000","100.0000","11.2900","11.2900","2.00","1"
